player,num_games,download_link
Vladislav Tkachiev,1598,https://www.pgnmentor.com/players/Tkachiev.zip
Evgeny Tomashevsky,1978,https://www.pgnmentor.com/players/Tomashevsky.zip
Veselin Topalov,2612,https://www.pgnmentor.com/players/Topalov.zip
Carlos Torre Repetto,175,https://www.pgnmentor.com/players/TorreRepetto.zip
Wolfgang Uhlmann,2537,https://www.pgnmentor.com/players/Uhlmann.zip
Wolfgang Unzicker,1265,https://www.pgnmentor.com/players/Unzicker.zip
Anna Ushenina,2077,https://www.pgnmentor.com/players/Ushenina.zip
Maxime Vachier-Lagrave,4862,https://www.pgnmentor.com/players/VachierLagrave.zip
Rafael Vaganian,2444,https://www.pgnmentor.com/players/Vaganian.zip
Francisco Vallejo Pons,2834,https://www.pgnmentor.com/players/VallejoPons.zip
Loek Van Wely,4060,https://www.pgnmentor.com/players/VanWely.zip
Nikita Vitiugov,2102,https://www.pgnmentor.com/players/Vitiugov.zip
Andrei Volokitin,1768,https://www.pgnmentor.com/players/Volokitin.zip
Joshua Waitzkin,385,https://www.pgnmentor.com/players/Waitzkin.zip
Wang Yue,1648,https://www.pgnmentor.com/players/Wang.zip
Wang Hao,2015,https://www.pgnmentor.com/players/WangH.zip
Wei Yi,1711,https://www.pgnmentor.com/players/Wei.zip
Simon Winawer,241,https://www.pgnmentor.com/players/Winawer.zip
Radoslaw Wojtaszek,2717,https://www.pgnmentor.com/players/Wojtaszek.zip
Aleksander Wojtkiewicz,1564,https://www.pgnmentor.com/players/Wojtkiewicz.zip
Patrick Wolff,640,https://www.pgnmentor.com/players/Wolff.zip
Xie Jun,701,https://www.pgnmentor.com/players/Xie.zip
Xu Yuhua,491,https://www.pgnmentor.com/players/Xu.zip
Ye Jiangchuan,662,https://www.pgnmentor.com/players/Ye.zip
Alex Yermolinsky,1593,https://www.pgnmentor.com/players/Yermolinsky.zip
Yu Yangyi,2323,https://www.pgnmentor.com/players/Yu.zip
Leonid Yudasin,1585,https://www.pgnmentor.com/players/Yudasin.zip
Zhu Chen,1178,https://www.pgnmentor.com/players/Zhu.zip
Johannes Zukertort,265,https://www.pgnmentor.com/players/Zukertort.zip
Vadim Zvjaginsev,2537,https://www.pgnmentor.com/players/Zvjaginsev.zip
